#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_agum;Agum;Agum;Agum;;Agum;;;;;;;;;x
c_agum_adj;Agumian;;agumer;;;;;;;;;;;x
c_aldenried;Aldenried;Aldenried;Aldenried;;Aldenried;;;;;;;;;x
c_aldenried_adj;Aldenriedian;;aldenrieder;;;;;;;;;;;x
c_alriksmark;Alriksmark;Alriksmark;Alriksmark;;Alriksmark;;;;;;;;;x
c_alriksmark_adj;Alriksmarkian;;alriksmarker;;;;;;;;;;;x
c_artesa;Artésa;Artésa;Artésa;;Artésa;;;;;;;;;x
c_artesa_adj;Artésan;;artéser;;;;;;;;;;;x
c_baerenau;Bärenau;Bärenau;Bärenau;;Bärenau;;;;;;;;;x
c_baerenau_adj;Bärenian;;bärener;;;;;;;;;;;x
c_bangour;Bangour;Bangour;Bangour;;Bangour;;;;;;;;;x
c_bangour_adj;Bangourian;;bangourer;;;;;;;;;;;x
c_bosquirien;Bosquirien;Bosquirien;Bosquirien;;Bosquirien;;;;;;;;;x
c_bosquirien_adj;Bosquirienian;;bosquiriener;;;;;;;;;;;x
c_braast;Braast;Braast;Braast;;Braast;;;;;;;;;x
c_braast_adj;Braastian;;braaster;;;;;;;;;;;x
c_breitenbruck;Breitenbruck;Breitenbruck;Breitenbruck;;Breitenbruck;;;;;;;;;x
c_breitenbruck_adj;Breitenbruckian;;breitenbrucker;;;;;;;;;;;x
c_brendiltal;Brendiltal;Brendiltal;Brendiltal;;Brendiltal;;;;;;;;;x
c_brendiltal_adj;Brendiltalian;;brendiltaler;;;;;;;;;;;x
c_brig_lo;Brig-Lo;Brig-Lo;Brig-Lo;;Brig-Lo;;;;;;;;;x
c_brig_lo_adj;Brig-Lian;;brig-ler;;;;;;;;;;;x
c_brigella;Brigella;Brigella;Brigella;;Brigella;;;;;;;;;x
c_brigella_adj;Brigellan;;brigeller;;;;;;;;;;;x
c_brindal;Brindâl;Brindâl;Brindâl;;Brindâl;;;;;;;;;x
c_brindal_adj;Brindâlian;;brindâler;;;;;;;;;;;x
c_cres;Cres;Cres;Cres;;Cres;;;;;;;;;x
c_cres_adj;Cresian;;creser;;;;;;;;;;;x
c_culming;Culming;Culming;Culming;;Culming;;;;;;;;;x
c_culming_adj;Culmingian;;culminger;;;;;;;;;;;x
c_dergelstein;Dergelstein;Dergelstein;Dergelstein;;Dergelstein;;;;;;;;;x
c_dergelstein_adj;Dergelsteinian;;dergelsteiner;;;;;;;;;;;x
c_donfanger;Donfanger;Donfanger;Donfanger;;Donfanger;;;;;;;;;x
c_donfanger_adj;Donfangerian;;donfangerer;;;;;;;;;;;x
c_dornensee;Dornensee;Dornensee;Dornensee;;Dornensee;;;;;;;;;x
c_dornensee_adj;Dornenseean;;dornenser;;;;;;;;;;;x
c_dubios;Dubios;Dubios;Dubios;;Dubios;;;;;;;;;x
c_dubios_adj;Dubiosian;;dubioser;;;;;;;;;;;x
c_duersten_darrenfurt;Dürsten-Darrenfurt;Dürsten-Darrenfurt;Dürsten-Darrenfurt;;Dürsten-Darrenfurt;;;;;;;;;x
c_duersten_darrenfurt_adj;Dürsten-Darrenfurtian;;dürsten-darrenfurter;;;;;;;;;;;x
c_dunkelsfarn;Dunkelsfarn;Dunkelsfarn;Dunkelsfarn;;Dunkelsfarn;;;;;;;;;x
c_dunkelsfarn_adj;Dunkelsfarnian;;dunkelsfarner;;;;;;;;;;;x
c_erlenstamm;Erlenstamm;Erlenstamm;Erlenstamm;;Erlenstamm;;;;;;;;;x
c_erlenstamm_adj;Erlenstammian;;erlenstammer;;;;;;;;;;;x
c_eslamsgrund;Eslamsgrund;Eslamsgrund;Eslamsgrund;;Eslamsgrund;;;;;;;;;x
c_eslamsgrund_adj;Eslamsgrundian;;eslamsgrunder;;;;;;;;;;;x
c_eslamsroden;Eslamsroden;Eslamsroden;Eslamsroden;;Eslamsroden;;;;;;;;;x
