#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abagund;Abagund;Abagund;Abagund;;Abagund;;;;;;;;;x
b_abagund_adj;Abagundian;;abagunder;;;;;;;;;;;x
b_abagund_2;Abagund;Abagund;Abagund;;Abagund;;;;;;;;;x
b_abagund_2_adj;Abagundian;;abagunder;;;;;;;;;;;x
b_abagund_3;Abagund;Abagund;Abagund;;Abagund;;;;;;;;;x
b_abagund_3_adj;Abagundian;;abagunder;;;;;;;;;;;x
b_abagund_4;Abagund;Abagund;Abagund;;Abagund;;;;;;;;;x
b_abagund_4_adj;Abagundian;;abagunder;;;;;;;;;;;x
b_abilacht;Abilacht;Abilacht;Abilacht;;Abilacht;;;;;;;;;x
b_abilacht_adj;Abilachtian;;abilachter;;;;;;;;;;;x
b_abilacht_2;Abilacht;Abilacht;Abilacht;;Abilacht;;;;;;;;;x
b_abilacht_2_adj;Abilachtian;;abilachter;;;;;;;;;;;x
b_abilacht_3;Abilacht;Abilacht;Abilacht;;Abilacht;;;;;;;;;x
b_abilacht_3_adj;Abilachtian;;abilachter;;;;;;;;;;;x
b_abilacht_4;Abilacht;Abilacht;Abilacht;;Abilacht;;;;;;;;;x
b_abilacht_4_adj;Abilachtian;;abilachter;;;;;;;;;;;x
b_adlerflug;Adlerflug;Adlerflug;Adlerflug;;Adlerflug;;;;;;;;;x
b_adlerflug_adj;Adlerflugian;;adlerfluger;;;;;;;;;;;x
b_adlerflug_2;Adlerflug;Adlerflug;Adlerflug;;Adlerflug;;;;;;;;;x
b_adlerflug_2_adj;Adlerflugian;;adlerfluger;;;;;;;;;;;x
b_adlerflug_3;Adlerflug;Adlerflug;Adlerflug;;Adlerflug;;;;;;;;;x
b_adlerflug_3_adj;Adlerflugian;;adlerfluger;;;;;;;;;;;x
b_adlerflug_4;Adlerflug;Adlerflug;Adlerflug;;Adlerflug;;;;;;;;;x
b_adlerflug_4_adj;Adlerflugian;;adlerfluger;;;;;;;;;;;x
b_aehrengatter;Ährengatter;Ährengatter;Ährengatter;;Ährengatter;;;;;;;;;x
b_aehrengatter_adj;Ährengatterian;;ährengatterer;;;;;;;;;;;x
b_aehrengatter_2;Ährengatter;Ährengatter;Ährengatter;;Ährengatter;;;;;;;;;x
b_aehrengatter_2_adj;Ährengatterian;;ährengatterer;;;;;;;;;;;x
b_aehrengatter_3;Ährengatter;Ährengatter;Ährengatter;;Ährengatter;;;;;;;;;x
b_aehrengatter_3_adj;Ährengatterian;;ährengatterer;;;;;;;;;;;x
b_aehrengatter_4;Ährengatter;Ährengatter;Ährengatter;;Ährengatter;;;;;;;;;x
b_aehrengatter_4_adj;Ährengatterian;;ährengatterer;;;;;;;;;;;x
b_aellingen;Ällingen;Ällingen;Ällingen;;Ällingen;;;;;;;;;x
b_aellingen_adj;Ällingenian;;ällingener;;;;;;;;;;;x
b_aellingen_2;Ällingen;Ällingen;Ällingen;;Ällingen;;;;;;;;;x
b_aellingen_2_adj;Ällingenian;;ällingener;;;;;;;;;;;x
b_aellingen_3;Ällingen;Ällingen;Ällingen;;Ällingen;;;;;;;;;x
b_aellingen_3_adj;Ällingenian;;ällingener;;;;;;;;;;;x
b_aellingen_4;Ällingen;Ällingen;Ällingen;;Ällingen;;;;;;;;;x
b_aellingen_4_adj;Ällingenian;;ällingener;;;;;;;;;;;x
b_agum;Agum;Agum;Agum;;Agum;;;;;;;;;x
b_agum_adj;Agumian;;agumer;;;;;;;;;;;x
b_agum_2;Agum;Agum;Agum;;Agum;;;;;;;;;x
b_agum_2_adj;Agumian;;agumer;;;;;;;;;;;x
b_agum_3;Agum;Agum;Agum;;Agum;;;;;;;;;x
b_agum_3_adj;Agumian;;agumer;;;;;;;;;;;x
b_agum_4;Agum;Agum;Agum;;Agum;;;;;;;;;x
b_agum_4_adj;Agumian;;agumer;;;;;;;;;;;x
b_aimaristan;Aimaristan;Aimaristan;Aimaristan;;Aimaristan;;;;;;;;;x
b_aimaristan_adj;Aimaristanian;;aimaristaner;;;;;;;;;;;x
b_aimaristan_2;Aimaristan;Aimaristan;Aimaristan;;Aimaristan;;;;;;;;;x
b_aimaristan_2_adj;Aimaristanian;;aimaristaner;;;;;;;;;;;x
b_aimaristan_3;Aimaristan;Aimaristan;Aimaristan;;Aimaristan;;;;;;;;;x
b_aimaristan_3_adj;Aimaristanian;;aimaristaner;;;;;;;;;;;x
b_aimaristan_4;Aimaristan;Aimaristan;Aimaristan;;Aimaristan;;;;;;;;;x
b_aimaristan_4_adj;Aimaristanian;;aimaristaner;;;;;;;;;;;x
b_aiwiallsfest;Aiwiallsfest;Aiwiallsfest;Aiwiallsfest;;Aiwiallsfest;;;;;;;;;x
b_aiwiallsfest_adj;Aiwiallsfestian;;aiwiallsfester;;;;;;;;;;;x
b_aiwiallsfest_2;Aiwiallsfest;Aiwiallsfest;Aiwiallsfest;;Aiwiallsfest;;;;;;;;;x
b_aiwiallsfest_2_adj;Aiwiallsfestian;;aiwiallsfester;;;;;;;;;;;x
b_aiwiallsfest_3;Aiwiallsfest;Aiwiallsfest;Aiwiallsfest;;Aiwiallsfest;;;;;;;;;x
b_aiwiallsfest_3_adj;Aiwiallsfestian;;aiwiallsfester;;;;;;;;;;;x
