#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
middenrealmian;Middenrealmian;Middenrealmian;Mittelreichisch;;;;;;;;;;;x
garethi;Garethi;Garethi;Garethi;;;;;;;;;;;x
albernian;Albernian;Albernian;Albernisch;;;;;;;;;;;x
nostrian_c;Nostrian;Nostrian;Nostrisch;;;;;;;;;;;x
andergastian_c;Andergastian;Andergastian;Andergassisch;;;;;;;;;;;x
northern_marches;Northern Marches;Northern Marches;Nordmärkisch;;;;;;;;;;;x
meadows;Meadows;Meadows;Weidensch;;;;;;;;;;;x
kosh;Kosh;Kosh;Kosch;;;;;;;;;;;x
tobrian;Tobrian;Tobrian;Tobrisch;;;;;;;;;;;x
svelltlander;Svelltlandic;Svelltlandic;Svelltländisch;;;;;;;;;;;x
darpatian;Darpatian;Darpatian;Darpatisch;;;;;;;;;;;x
almada;Almada;Almada;Almada;;;;;;;;;;;x
almadan;Almadan;Almadan;Almadisch;;;;;;;;;;;x
hjaldingish_c;Hjalding;Hjalding;Hjaldingsch;;;;;;;;;;;x
thorwalian_c;Thorwalian;Thorwalian;Thorwalisch;;;;;;;;;;;x
gjalskerland_c;Gjalskerlandic;Gjalskerlandic;Gjalskerländisch;;;;;;;;;;;x
fjarningish_c;Fjarningsh;Fjarningsh;Fjarningsch;;;;;;;;;;;x
nivese;Nivese;Nivese;Nivesen;;;;;;;;;;;x
nivese_c;Nivesian;Nivesian;Nivesisch;;;;;;;;;;;x
nuanaa-lie;Nuanaä-Lie;Nuanaä-Lie;Nuanaä-Lie;;;;;;;;;;;x
fountland;Fountlandish;Fountlandish;Festenländisch;;;;;;;;;;;x
sevirya;Seviryan;Seviryan;Sewerisch;;;;;;;;;;;x
fastenland;Fastenlandic;Fastenlandic;Festenländisch;;;;;;;;;;;x
march;March;March;Märkisch;;;;;;;;;;;x
horasian;Horasian;Horasian;Horasisch;;;;;;;;;;;x
septimana;Septimanan;Septimanan;Septimanisch;;;;;;;;;;;x
yaquiria;Yaquirian;Yaquirian;Yaquirisch;;;;;;;;;;;x
aurelat;Aurelatian;Aurelatian;Aurelassisch;;;;;;;;;;;x
coverna;Covernian;Covernian;Covernisch;;;;;;;;;;;x
cyclops_islands;Cyclopes Isles;Cyclopes Isles;Zyklopeninseln;;;;;;;;;;;x
cyclopean;Cyclopean;Cyclopean;Zyklopäisch;;;;;;;;;;;x
aranians;Arania;Arania;Aranien;;;;;;;;;;;x
aranian;Aranian;Aranian;Aranisch;;;;;;;;;;;x
tulamids;Tulamids;Tulamids;Tulamiden;;;;;;;;;;;x
mhanadistani;Mhanadistani;Mhanadistani;Mhanadistani;;;;;;;;;;;x
gorian;Gorian;Gorian;Gorisch;;;;;;;;;;;x
selem;Selemian;Selemian;Selemitisch;;;;;;;;;;;x
thalusian;Thalusian;Thalusian;Thalusisch;;;;;;;;;;;x
ferkina_c;Ferkinian;Ferkinian;Ferkinisch;;;;;;;;;;;x
khom_c;Khôm cultures;Khôm cultures;Khômkulturen;;;;;;;;;;;x
beni_novad;Beni Novad;Beni Novad;Beni Novad;;;;;;;;;;;x
beni_shadif;Beni Shadif;Beni Shadif;Beni Shadif;;;;;;;;;;;x
beni_erkin;Beni Erkin;Beni Erkin;Beni Erkin;;;;;;;;;;;x
beni_schebt;Beni Schebt;Beni Schebt;Beni Schebt;;;;;;;;;;;x
maraskan_c;Maraskan cultures;Maraskan cultures;Maraskankulturen;;;;;;;;;;;x
maraskani;Maraskani;Maraskani;Maraskani;;;;;;;;;;;x
south_aventuria;South Aventurian cultures;South Aventurian cultures;Südaventurische Kulturen;;;;;;;;;;;x
meridiana;Meridianian;Meridianian;Meridianisch;;;;;;;;;;;x
kemi;Kemian;Kemian;Kemisch;;;;;;;;;;;x
mengbilla;Mengbillan;Mengbillan;Mengbillisch;;;;;;;;;;;x
drol;Drôlian;Drôlian;Drôlisch;;;;;;;;;;;x
charypso;Charyptean;Charyptean;Charyptisch;;;;;;;;;;;x
alanfa;Al'Anfan;Al'Anfan;Al'Anfanisch;;;;;;;;;;;x
beni_arrat;Beni Arrat;Beni Arrat;Beni Arrat;;;;;;;;;;;x
forest_men;Forest Men cultures;Forest Men cultures;Waldmenschenkulturen;;;;;;;;;;;x
mohan_c;Mohan;Mohan;Mohisch;;;;;;;;;;;x
miniwatu;Miniwatuan;Miniwatuan;Miniwatuisch;;;;;;;;;;;x
utulus;Utulus;Utulus;Utulus;;;;;;;;;;;x
utulu_c;Utulian;Utulian;Utulisch;;;;;;;;;;;x
dwarves;Dwarves;Dwarves;Zwerge;;;;;;;;;;;x
ore_d;Ore Dwarves;Ore Dwarves;Erzzwerge;;;;;;;;;;;x
anvil_d;Anvil Dwarves;Anvil Dwarves;Ambosszwerge;;;;;;;;;;;x
diamond_d;Diamond Dwarves;Diamond Dwarves;Brilliantzwerge;;;;;;;;;;;x
hill_d;Hill Dwarves;Hill Dwarves;Hügelzwerge;;;;;;;;;;;x
ork_culture;Ork cultures;Ork cultures;Orkkulturen;;;;;;;;;;;x
orklander;Orklandic;Orklandic;Orkländisch;;;;;;;;;;;x
achaz;Achaz cultures;Achaz cultures;Achazkulturen;;;;;;;;;;;x
tribal_a;Tribal Achaz;Tribal Achaz;Stammesachaz;;;;;;;;;;;x
proxy;proxy;proxy;proxy;;;;;;;;;;;x
stub;stub;stub;stub;;;;;;;;;;;x
