#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
January;Firun;Firun;Firun;;;;;;;;;;;x
February;Tsa;Tsa;Tsa;;;;;;;;;;;x
March;Phex;Phex;Phex;;;;;;;;;;;x
April;Peraine;Peraine;Peraine;;;;;;;;;;;x
May;Ingerimm;Ingerimm;Ingerimm;;;;;;;;;;;
June;Rahja;Rahja;Rahja;;;;;;;;;;;
July;Praios;Praios;Praios;;;;;;;;;;;
August;Rondra;Rondra;Rondra;;;;;;;;;;;
September;Efferd;Efferd;Efferd;;;;;;;;;;;
October;Travia;Travia;Travia;;;;;;;;;;;
November;Boron;Boron;Boron;;;;;;;;;;;
December;Hesinde;Hesinde;Hesinde;;;;;;;;;;;
BM_PEACE_OF_ARIVOR;The Peace of Arivor;;;;;;;;;;;;;
BM_PEACE_OF_ARIVOR_DESC;The Peace of Arivor;;;;;;;;;;;;;
