#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_ackbar;Ackbar;Ackbar;Ackbar;;Ackbar;;;;;;;;;x
b_ackbar_adj;Ackbarian;;ackbarer;;;;;;;;;;;x
b_alberburg;Alberburg;Alberburg;Alberburg;;Alberburg;;;;;;;;;x
b_alberburg_adj;Alberburgian;;alberburger;;;;;;;;;;;x
b_aldengrund;Aldengrund;Aldengrund;Aldengrund;;Aldengrund;;;;;;;;;x
b_aldengrund_adj;Aldengrundian;;aldengrunder;;;;;;;;;;;x
b_aldenried;Aldenried;Aldenried;Aldenried;;Aldenried;;;;;;;;;x
b_aldenried_adj;Aldenriedian;;aldenrieder;;;;;;;;;;;x
b_alka;Alka;Alka;Alka;;Alka;;;;;;;;;x
b_alka_adj;Alkan;;alker;;;;;;;;;;;x
b_alriksburg;Alriksburg;Alriksburg;Alriksburg;;Alriksburg;;;;;;;;;x
b_alriksburg_adj;Alriksburgian;;alriksburger;;;;;;;;;;;x
b_alrikshain;Alrikshain;Alrikshain;Alrikshain;;Alrikshain;;;;;;;;;x
b_alrikshain_adj;Alrikshainian;;alrikshainer;;;;;;;;;;;x
b_alrikshorst;Alrikshorst;Alrikshorst;Alrikshorst;;Alrikshorst;;;;;;;;;x
b_alrikshorst_adj;Alrikshorstian;;alrikshorster;;;;;;;;;;;x
b_alriksmark;Alriksmark;Alriksmark;Alriksmark;;Alriksmark;;;;;;;;;x
b_alriksmark_adj;Alriksmarkian;;alriksmarker;;;;;;;;;;;x
b_alriksmark_2;Alriksmark;Alriksmark;Alriksmark;;Alriksmark;;;;;;;;;x
b_alriksmark_2_adj;Alriksmarkian;;alriksmarker;;;;;;;;;;;x
b_alriksmark_3;Alriksmark;Alriksmark;Alriksmark;;Alriksmark;;;;;;;;;x
b_alriksmark_3_adj;Alriksmarkian;;alriksmarker;;;;;;;;;;;x
b_alt_gareth;Alt-Gareth;Alt-Gareth;Alt-Gareth;;Alt-Gareth;;;;;;;;;x
b_alt_gareth_adj;Alt-Garethian;;alt-garether;;;;;;;;;;;x
b_alt_gareth_2;Alt-Gareth;Alt-Gareth;Alt-Gareth;;Alt-Gareth;;;;;;;;;x
b_alt_gareth_2_adj;Alt-Garethian;;alt-garether;;;;;;;;;;;x
b_amselhag;Amselhag;Amselhag;Amselhag;;Amselhag;;;;;;;;;x
b_amselhag_adj;Amselhagian;;amselhager;;;;;;;;;;;x
b_antalorgol;Antalorgol;Antalorgol;Antalorgol;;Antalorgol;;;;;;;;;x
b_antalorgol_adj;Antalorgolian;;antalorgoler;;;;;;;;;;;x
b_aubinge;Aubinge;Aubinge;Aubinge;;Aubinge;;;;;;;;;x
b_aubinge_adj;Aubingean;;aubinger;;;;;;;;;;;x
b_baerenau;Bärenau;Bärenau;Bärenau;;Bärenau;;;;;;;;;x
b_baerenau_adj;Bärenian;;bärener;;;;;;;;;;;x
b_baerenau_2;Bärenau;Bärenau;Bärenau;;Bärenau;;;;;;;;;x
b_baerenau_2_adj;Bärenian;;bärener;;;;;;;;;;;x
b_baerenau_3;Bärenau;Bärenau;Bärenau;;Bärenau;;;;;;;;;x
b_baerenau_3_adj;Bärenian;;bärener;;;;;;;;;;;x
b_baerenau_4;Bärenau;Bärenau;Bärenau;;Bärenau;;;;;;;;;x
b_baerenau_4_adj;Bärenian;;bärener;;;;;;;;;;;x
b_baranschek;Baran'Schek;Baran'Schek;Baran'Schek;;Baran'Schek;;;;;;;;;x
b_baranschek_adj;Baran'Schekian;;baran'scheker;;;;;;;;;;;x
b_barbenwehr;Barbenwehr;Barbenwehr;Barbenwehr;;Barbenwehr;;;;;;;;;x
b_barbenwehr_adj;Barbenwehrian;;barbenwehrer;;;;;;;;;;;x
b_beldenheim;Beldenheim;Beldenheim;Beldenheim;;Beldenheim;;;;;;;;;x
b_beldenheim_adj;Beldenheimian;;beldenheimer;;;;;;;;;;;x
b_bitani;Bitani;Bitani;Bitani;;Bitani;;;;;;;;;x
b_bitani_adj;Bitanian;;bitaner;;;;;;;;;;;x
b_black_castle;Black Castle;Black Castle;Black Castle;;Black Castle;;;;;;;;;x
b_black_castle_adj;Black Castlean;;Black Castler;;;;;;;;;;;x
b_blumenau;Blumenau;Blumenau;Blumenau;;Blumenau;;;;;;;;;x
b_blumenau_adj;Blumenian;;blumener;;;;;;;;;;;x
